Price,Close,High,Low,Open,Volume
Ticker,005930.KS,005930.KS,005930.KS,005930.KS,005930.KS
Date,,,,,
2020-12-23,66696.6484375,66786.90100642761,65252.60733465832,65342.85990358593,19411326
2020-12-24,70216.4921875,71119.01779402314,66786.89488271209,66877.1474433644,32502870
2020-12-28,71028.7734375,72292.30943257624,70577.51058211563,71299.53115073063,40085044
2020-12-29,72446.2421875,73001.38580579501,71521.00282367496,72908.86186941252,30339449
2020-12-30,74944.390625,75221.96244212963,71521.00488040123,71613.52881944444,29417421
2021-01-04,76794.859375,78090.19435240964,74204.18942018073,74944.38083584337,38655276
2021-01-05,77627.578125,77627.578125,75499.52771156139,75499.52771156139,35335669
2021-01-06,76054.671875,78182.72230459246,75962.14794327859,77072.43512393552,42089013
2021-01-07,76702.3359375,77905.14699562726,76517.2880824035,76609.81200995175,32644642
2021-01-08,82161.25,83271.53716216216,76794.86204954956,77072.43384009009,59013307
2021-01-11,84196.7734375,89563.16119505494,82808.91453468407,83271.53416895604,90306177
2021-01-12,83826.6796875,84566.8711196192,81236.00967508278,83549.1079004553,48682416
2021-01-13,82993.96875,84381.82775919732,82438.82514632106,83086.49268394649,36068848
2021-01-14,82993.96875,83271.54055183945,82068.72941053512,82068.72941053512,26393970
2021-01-15,81421.0625,84936.97201704545,81421.0625,83086.49332386364,33431809
2021-01-18,78645.3515625,80773.40225183823,77812.63607536764,80125.73465073529,43227951
2021-01-19,80495.8125,81421.05172413793,77349.99913793104,78182.71443965517,39895044
2021-01-20,80680.875,82346.3059059633,80033.2074254587,82346.3059059633,25211127
2021-01-21,81513.5859375,81976.2056079739,80033.20299198353,80958.44233293133,25318011
2021-01-22,80310.78125,82993.97555443548,80310.78125,82346.30796370968,30861661
2021-01-25,82716.390625,83179.010259368,79848.14889191835,80495.81638003356,27258534
2021-01-26,80218.2421875,82531.34028979238,80033.1943393166,82161.2445934256,33178936
2021-01-27,79200.484375,81143.48691223715,79200.484375,80125.72367844626,26423070
2021-01-28,77442.5390625,79200.49395161291,76979.91935483871,76979.91935483871,31859808
2021-01-29,75869.625,78645.34298780488,75869.625,78182.72332317074,39615978
2021-02-01,76794.859375,77164.95508283132,74944.38083584337,75592.04832454819,28046832
2021-02-02,78090.203125,79940.68187203791,77442.53556353673,77812.63131294432,26302077
2021-02-03,78275.2265625,79015.4178302305,77164.93966090426,78460.27437943262,22112205
2021-02-04,76332.2578125,77535.06914772728,75962.16201704546,77257.49730113636,24171688
2021-02-05,77257.4765625,77720.09618263472,76332.23732223053,76887.38086639221,18036835
2021-02-08,76794.859375,77905.14649849398,76794.859375,77535.05079066264,15338765
2021-02-09,76517.2890625,78460.29156590084,76517.2890625,77720.10013603386,20898332
2021-02-10,75499.5390625,76424.77851179535,75499.5390625,76424.77851179535,23025766
2021-02-15,77905.15625,78182.72806561757,77072.44080314727,77535.06049584322,23529706
2021-02-16,78552.8125,79570.57567726738,77905.14502355712,78182.7167991755,20483100
2021-02-17,76979.8984375,77905.13760141225,76794.85060471755,77627.56585223858,18307735
2021-02-18,75962.140625,77349.99946711327,75962.140625,76979.90377588307,21327683
2021-02-19,76424.765625,76609.81348365617,74944.3827557506,76147.19383701573,25880879
2021-02-22,76054.671875,77905.15050942822,76054.671875,77535.05478254257,25419886
2021-02-23,75869.625,76702.34039634146,75036.90960365854,75129.43353658536,20587314
2021-02-24,75869.625,77350.00792682926,75221.9574695122,75684.57713414634,26807651
2021-02-25,78922.9140625,79015.43799457795,76794.86362470691,77720.10294548652,34155986
2021-02-26,76332.2578125,77164.97335227273,75869.63806818181,76609.8296590909,38520800
